EN_WORD,WORD,DEFINITION
accomplisher,Успевающий,"тот, кто достигает."
accomplishment,::,"акт совершенства; целое совершенствование; совершенствование; совершенствование; как, совершенствование предприятия, пророчества и т.д."
accomplishment,::,"то, что дополняет, совершенствует или тщательно оснащает; приобретение; достижение; то, что представляет собой превосходство ума, или элегантность манеров, приобретенных образованием или обучением."
accompt,accompet,Смотреть Счет.
accomptable,аккумулируемая,Смотреть Отчетный.
accomptant,Аккуратно!,Смотреть Счетчик.
accord,Согласие,"соглашение или конкуренция мнения, воли или действий; гармония ума; согласие; асент."
accord,Соглашайтесь,"гармония звуков; согласие в диапазоне и тоне; согласие; как, согласие тонов."
accord,"Соглашайся,","соглашение, гармония, или просто корреспонденция вещей; как, соглашение света и тени в живописи."
accord,-,"добровольное или спонтанное движение или импульс к действию; - предшествовало собственным; как, собственного согласия."
accord,Соглашение,"соглашение между сторонами спора, по которому предусмотрено удовлетворение ущерба, и которое при его исполнении вызывает иск."
accorded,предоставленное,согласия
according,в,от Соглашения
accord,Согласовать,"для того, чтобы согласиться или соответствовать; для того, чтобы одна вещь соответствовала другому; для того, чтобы приспособиться; - для того, чтобы последовать."
accord,"Соглашайтесь,","для достижения соглашения, как лиц; для примирения; для урегулирования, корректировки, гармонизации или составления, как вещей; как, для согласования соглашений или споров."
accord,-,"давать как подходящее или подходящее; давать; давать; как, согласиться с одним должным похвалом."
accord,Соглашайся;,"согласиться; соответствовать; быть в гармонии; - следовать с, ранее также с; как, его расположение соглашается с его внешностью."
accord,Согласуйся,согласиться в диапазоне и тоне.
accordable,Согласен.,согласие.
accordable,-,согласованный; в соответствии.
accordance,Соглашение;,Соглашение; гармония; соответствие.
accordancy,аккордентность,согласованность.
accordant,Согласие;,согласованного; согласованного; гармоничного; соответствующего; согласованного; следующего с или к.
accordantly,аккордируемый,в согласии или согласии; согласованно; согласованно; - последует с или к.
accorder,"Тот,","тот, кто соглашается, соглашается или соглашается."
according,-,согласие; согласие или гармония; гармония.
according,в,соответственно; соответственно.
accordingly,В,согласованно; соответственно; соответственно; в согласованном виде.
accordingly,В,в естественной последовательности; следовательно; так.
accordion,аккордеон,"небольшой, портативный, ключевой ветроинструмент, тоны которого генерируются игрой ветра на свободной металлической галке."
accordionist,-,игрок на согласии.
accordment,Соглашение;,соглашение; примирение.
accorporate,acorporate,объединить; присоединить; объединить.
accosted,accounted,от Accost
accosting,аккумулирование,от Accost
accost,account,"присоединяться к стороне к стороне; к границе; следовательно, плавать вдоль побережья или к стороне."
accost,account,для подхода; для достижения.
accost,аккост,говорить сначала; обращаться; приветствовать.
accost,аккост,присоединиться; лгать рядом.
accost,Адрес;,адрес; приветствие.
accostable,аккумулируемая,Доступно; недоступно.
accosted,аккумулируемый,"поддерживается с обеих сторон другими нагрузками; также, стороной за стороной."
accouchement,Усыновление,Доставка в детском кровати
accoucheur,"мужчина,","мужчина, который помогает женщинам при родах; мужская медсестра; акушер."
accoucheuse,Акушерка.,медсестра.
account,"Расчет,","расчет; расчет; расчет; перечень; запись некоторых расчетов; как, джулианский счет времени."
account,-,"Регистр денежных транзакций; письменное или печатное заявление о бизнес-транзакциях или долгах и кредитах, а также о других вещах, подлежащих расчету или пересмотру; как, чтобы хранить свой счет в банке."
account,::,"заявление в целом причин, причин, причин и т. д., объясняющее какое-то событие; как, не было предоставлено удовлетворительного отчета о этих явлениях. Поэтому слово часто используется просто для причины, основания, рассмотрения, мотивов и т. д.; как, без счета, на каждом счете, на всех счетах."
account,сообщение,"заявление фактов или событий; резюме сделок; отношение или рассказ; отчет; описание; как, отчет битвы."
account,заявление,заявление и объяснение или отказ от поведения человека с ссылкой на его решение.
account,-,оценка или оценка; оценка; суждение.
account,Счёт:,значение; стоимость; стоимость; преимущество; прибыль.
accounted,Счётный,от учета
accounting,Бухгалтерский,счета
account,"Посчитать,",для счета; для счета; для счета.
account,Помещение,для размещения на учетную запись; для размещения на кредит; для присвоения; — с.
account,"Оценить,","для оценки, оценки или содержания мнения; для суждения или рассмотрения; для оценки."
account,"Пересчитать,",для расчетов; для связей.
account,-,"для предоставления или получения счета или отношений частных лиц; как, офицер должен рассчитывать с или к казначейству за полученные деньги."
account,Мы,"для предоставления счета; для ответа в суде; - с; как, мы должны учитывать использование наших возможностей."
account,Удовлетворить,"давать удовлетворительную причину; рассказать причину; объяснить; — с; как, бедность является причиной бедности."
accountability,-,"состояние ответственности; ответственность, которую нужно вызвать для предоставления счета; ответственность."
accountable,-,"ответственность за то, чтобы вызвать отчет; ответственность; как, каждый человек несет ответственность перед Богом за свое поведение."
accountable,способность,способность быть отчетным; объяснимый.
accountable ness,качество,Качество или состояние ответственности; ответственность.
accountably,Отчётным,Отчетливо.
accountancy,Бухгалтерская,искусство или занятость бухгалтера.
accountant,Бухгалтер:,"один, кто откладывает счет; один, кто отвечает за счет."
accountant,Бухгалтер.,Счетчик.
accountant,"Бухгалтер,","человек, который умеет, хранит или корректирует счета; служащий в государственной службе, который отвечает за счета."
accountant,-,Счетчик.
accountantship,Бухгалтерский,Офис или работа бухгалтера.
account book,Бухгалтерский,"Книгу, в которой хранится счета."
accouple,"Присоединяйся,",присоединиться; к паре.
accouplement,-,"акт сочетания, или состояние сочетания; союз."
accouplement,Связующее,"то, что пары, как связь или рука."
accourage,Поощрять.,поощрять.
accourt,Вежливо,для добросовестного обращения; в суд.
accoutered,Приобретённый,от Accoutre
accoutred,Приобретенный,от «принято»
accoutering,Приобретение,от Accoutre
accoutring,Приобретение,от «приемки»
accouter,Аккумулятор,Alt. of Accoutre
accoutre,-,"для оснащения одеждой или оборудованием, т.е. для военной службы; для оснащения; для привлечения; для оформления."
accouterments,Принадлежности,Alt. of Accoutrements
accoutrements,Принадлежности:,"одежда; ступени; оборудование; в частности, приборы и оборудование, ношенные солдатами."
accoy,"Успокойся,",чтобы оставить спокойствие; чтобы расслабиться.
accoy,"Покорить,",для подводки; для тамы; для даунта.
accredited,по,аккредитованный
accrediting,Аккредитация,аккредитации
accredit,Аккредитовать,ввести или ввести кредит; инвестировать с кредитом или властью; к санкциям.
accredit,Аккредитовать,"отправить с письмами удостоверения, в качестве посла, посла или дипломатического агента; уполномочить, в качестве посла или делегата."
accredit,"Аккредитовать,",верить; кредитовать; полагать доверие.
accredit,Аккредитовать:,"для кредита; для того, чтобы взыскать или рассматривать (что-то) как что-то, или (что-то) как принадлежащее кому-то."
accreditation,Акт,"акт аккредитации; как, письма аккредитации."
accrementitial,Принадлежность,относится к увеличению.
accrementition,Процесс,"процесс роста путем развития бластемы, или физии клеток, в котором новое образование в целом похоже на индивида, из которого оно исходит."
accresce,Накопить,Увеличение.
accresce,"Увеличиться,",для увеличения; для роста.
accrescence,Непрерывный,непрерывный рост; аккретация.
accrescent,"Растет,",роста; роста.
accrescent,После,Растет больше после цветения.
accrete,Чтобы,Растет вместе.
accrete,accret,придерживаться; расти (для); быть добавленным; — с тем.
accrete,accret,для присоединения; для добавления.
accrete,accrete,"характеризуется аккретией; составлен; как, аккретная материя."
accrete,аккрейт,растут вместе.
accretion,accretion,акт увеличения природным ростом; т. е. увеличение органических тел внутренним присоединением частей; органический рост.
accretion,Акт,"акт увеличения, или добавленная материя, присоединением сторонних частей; внезапное добавление; как, присоединение земли."
accretion,accretion,"Конкретию; последовательность отдельных частиц; как, аккретию частиц таким образом, чтобы сформировать твердую массу."
accretion,аккреция,"Растение вместе частей естественно отделено, как пальцев пальцев."
accretion,Присоединение,"привязанность имущества к чему-то другому, благодаря которому владелец одной вещи становится обладателем права на другую; в целом, приобретение земли путем вымывания песка или плавания из моря или реки, или путем постепенной рецессии воды из обычной водой."
accretion,accretion,"добыча наследника или наследника, неудача наследника для того же наследия, или соследия того же вещи, чтобы принять его долю."
accretive,accrective,"связанный с аккретированием; увеличивая или добавляя к нему, путем роста."
accriminate,Обвинение,обвинять преступление.
accroach,Для,"для прикосновения, или для прикосновения к себе, как с прикосновением."
accroach,::,"Узурп, как юрисдикция или королевские привилегии."
accroachment,"Посягательство,",Привязанность; Узурпация.
accrual,Приобретение.,Актуальность.
accrued,накопленный,от Accrue
accruing,Приобретение,от «присоединения»
accrue,Начисляйте,для увеличения; для увеличения.
accrue,Начисляйте,"прийти путем увеличения; возникнуть или пролетить как рост или результат; быть добавленным как увеличение, прибыль или ущерб, особенно как продукт денег."
accrue,Накопить,"что-то, что присоединяется; преимущество присоединяется."
accruer,Акт,"акт аккрутера; аккретация; как, титул аккрутера."
accrument,Процесс,"процесс накопления, или тот, который накоплен; увеличение."
accubation,Акт,"акт или положение прикосновения на диване, как практиковали древние при еде."
accumb,"Назад,","чтобы скрепить, как на столе."
accumbency,-,состояние аккумбента или притягивания.
accumbent,Наклоняясь,"лечь или прикосновение, как древние делали при еде."
accumbent,Лживая,"лгать против чего-то, как одна часть листья против другой."
accumbent,"Тот,","человек, который прислушивается к столу."
accumber,"аккумулировать,",для акумулятора.
accumulated,аккумулированная,аккумулируемого
accumulating,Аккумулирование,аккумулирующего
accumulate,аккумулировать,"набирать в массе; набирать; собирать или собирать; собирать; как, набирать сумму денег."
accumulate,-,для роста или увеличения в количестве или количестве; для значительного увеличения.
accumulate,аккумулировать,собираемого; накопленного.
accumulation,"Накопление,","акт накопления, состояние накопления, или то, что накоплено; как, накопление земли, песка, зла, богатства, чести."
accumulation,аккумулирование,соревнование нескольких титулов к тому же доказательству.
accumulative,Аккумуляторы,характеризуется накоплением; служит для сбора или накопления; кумулятивный; дополнительный.
accumulator,"Тот,","человек, который или тот, который накапливает, собирает или накапливает."
accumulator,"Прибор,","аппарат, посредством которого можно хранить энергию или энергию, например, цилиндр или резервуар для хранения воды для гидравлических лифтов, вторичная или хранительная батарея, используемая для накопления энергии электрических нагрузок и т.д."
accumulator,Система,"Система эластичных потоков для облегчения напряжения на крыше, как в глубокой морской дражке."
accuracy,-,"состояние точности; свобода от ошибок, это освобождение, возникающее из осторожности; точная соответствие истине, или правилу или модели; точность; точность; доброта; корректность; как, стоимость свидетельства зависит от ее точности."
accurate,Точное,"в точном или тщательном соответствии с истиной, или с определенным стандартом требований, результат ухода или боли; свободный от неудачи, ошибки или дефектов; точный; как, точный калькулятор; точный измерение; точный выражение, знание и т.д."
accurate,Точное,Точно фиксирован; выполнен с осторожностью; тщательно.
accurately,"точный,",точным образом; точным; точным; без ошибок или дефектов.
accurateness,-,состояние или качество точности; точность; точность; доброта; точность.
accurse,аккуратно,посвятить уничтожению; имперактировать бедность или зло; проклинать; исполнить; анатематизировать.
accursed,Проклятый,Alt. of Accurst
accurst,(Ж),"осужденный на уничтожение или бедность; проклятый; следовательно, достаточно плохой, чтобы быть под проклятием; изнасилованный; ненавистный; чрезмерно ненавистный; — как, несправедливый акт."
accusable,Обвинение,ответственный за обвинение или цензуру; обвиняемый за преступление или вину; виновный; - с.
accusal,Обвинение.,Обвинения.
accusant,Обвиняемый.,Обвиняемого.
accusation,Обвинение,акт обвинения или обвинения в преступлении или более легком преступлении.
accusation,"Обвинение,","то, за которое обвиняется; обвинение в совершении преступления или преступления, или заявление, содержащее обвинение."
accusatival,аккумулирует,относится к обвинительному делу.
accusative,Обвинение:,производство обвинений; обвинительное.
accusative,Применяется,"Применяется к делу (как в четвертом случае латинских и греческих примеров), в котором выражается непосредственный объект, на котором прекращается действие или влияние переходного слова, или непосредственный объект движения или склонности к нему, выраженный предположениями."
accusative,Обвиняющее,Обвинение.
accusatively,Обвиняющим,в обвинительном виде.
accusatively,В,в отношении обвинительного дела в грамматике.
accusatorial,Обвинение.,Обвинения.
accusatorially,Обвинение.,путем обвинения.
accusatory,Обвинение,"относится к, или содержит, обвинение; как, обвинительный либель."
accuse,Обвинение.,Обвинения.
accused,Обвиняемый,обвинения
accusing,Обвинение,обвинить
accuse,Обвинение,обвинять или декларировать совершение преступления или преступления
accuse,Обвинение,"обвинять преступление, судебным или публичным судом; — с; как, обвинять одного из крупных преступлений или преступников."
accuse,Обвинять,обвинять вину; обвинить; цензурировать.
accuse,Обвинение,чтобы предать; чтобы показать.
accused,Обвиняемый:,"обвиняемого с правонарушением; как, обвиняемого."
accusement,-,Обвинения.
accuser,-,"тот, кто обвиняет; тот, кто приносит обвинение в преступлении или вине."
accusingly,Обвиняем,в обвинительном виде.
accustomed,Привычная,от Accustom
accustoming,аккумулирование,от Accustom
accustom,accustom,"для знакомства с использованием; для знакомства, знакомства или необычного; — с ним."
accustom,аквариум,быть привычным.
accustom,Для,для сожительства.
accustom,ac,Пригодный.
accustomable,ac,обычное; обычное; неуклонное.
accustomably,"обычно,",по обычному; обычным; обычным.
accustomance,accustomance,персонализированное; обычное использование.
accustomarily,ac,Обычно.
accustomary,"Обычный,",обычный; обычный.
accustomed,"Обычный,",знакомый через использование; обычный; обычный.
accustomed,Обычный,Часто встречаются клиентами.
accustomedness,Привычка,привычка.
aces,Тузы,от Ace
ace,aces,"единица; единая точка или точка на карте или умирает; карта или умирает так обозначенная; как, аце алмазов."
ace,ace,Поэтому: очень небольшое количество или степень; частица; атом; йот.
aceldama,Ацельдама,"полюс Поттера, который, как говорилось, имеет лана на юг от Иерусалима, приобретен с бриллией, которую Иуда взял за предательство своего Учителя, и, следовательно, назывался полем крови."
acentric,acentic,нецентрированный; без центра.
acephal,Один,один из ацефал.
acephala,acephala,"то разделение Моллуска, которое включает в себя бивалвные шлемы, такие как клемы и остыры; — так называется, потому что у них нет очевидной головы."
acephalan,То,"так же, как и «ацефал»."
acephalan,acephalan,принадлежит к Ацефале.
acephali,Ацефали,"Фантастический человек, рассказанный древними писателями, что имеет головы."
acephali,Христианская,Христианская секта без лидера.
acephali,Ацефали,епископы и некоторые священники не находятся под регулярным диосеанским контролем.
acephali,Ацефали,класс лейтенантов во времена К. Генри I.
acephalist,Ацефалист,"тот, кто не признает ни главы, ни высшего."
acephalocyst,acephalocyst,"Ларвальный энтозой в виде субглобулярного или овулярного мочевого пузыря, или гидатида, наполненного жидкостью, иногда встречается в тканях человека и нижних животных; — так называется от отсутствия головы или видимых органов на мочевом пузыре."
acephalocystic,ацефалоцистичные,"относится к, или напоминает, ацефалоцистам."
acephalous,Безголовый.,без головы.
acephalous,ацефалоуозный,"без отдельной головы; — термин, применяемый к бивальвным моллюскам."
acephalous,ацефалический,"имея стиль весны от основы, а не от аппекса, как это происходит в некоторых яичниках."
acephalous,Без,без лидера или руководителя.
acephalous,Ацефалический,стремление к началу.
acephalous,Недостаток,"дефицит и начало, как линию поэзии."
acerate,acerat,сочетание ацериновой кислоты с выявленной базой.
acerate,acerose;,ацероза; огонь-образный.
acerb,ацерб,"сухой, горький и жесткий по вкусу, как нежирный плод; острый и жесткий."
acerbate,acerbate,вспыхнуть; вспыхнуть; раздражать.
acerbic,acerbic,грубый или тяжелый.
acerbitude,аккуратность,сурость и жестокость.
acerbity,аккуратность,"сурость вкуса, с горчивостью и астрингенностью, как то, что происходит с нежирным плодом."
acerbity,"Жестокость,","грубость, грубость или тяжесть; как, оскорбительность темпера, языка, боли."
aceric,aceric,"относящийся к, или полученный из, мапли; как, ацерическая кислота."
acerose,acerose,имея природу чафа; чафа.
acerose,acerose,"Needle-shaped, имея острый, жесткий пункт, как лист пины."
acerous,То,как и ацероза.
acerous,Уничтожение,"уничтожение тентакул, как и определенные моллюски."
acerous,Ужасные,"без антенны, как и некоторые насекомые."
acerval,Ацервал,относящийся к грызуне.
acervate,асервировать,чтобы подняться.
acervate,acervate,грязный или растущий в грязных или тщательно компактных кластерах.
acervation,acervation,вспышка; накопление.
acervative,асервативное,поднимается; склонно поднимается.
acervose,ацервоза,полный грызунов.
acervuline,acervulline,напоминает небольшие грыжи.
acescence,ацецедентность,Alt. of Acescency
acescency,ацесентность,качество ацецентности; процесс ацетусной ферментации; умеренная степень сурости.
acescent,"Кислородный,",превращаясь в грязную; легко превращаясь в грязную или кислотную; немного грязную.
acescent,Вещество,"субстанция, ответственная за то, чтобы стать сырой."
acetable,ацетабулум,Ацетабулум; или около восьмой части пинта.
acetabular,ацетабулярная,в форме кубка; в форме сока; ацетабулифор.
acetabulifera,aцетабулайвера,"подразделение Цефалоподы, в котором руки снабжены чашными сукнями, такими как кутлефисы, сквады и октоп; Дибранхиата."
acetabuliferous,Вацефалиоразмещенные,"снабженное мясными чашками для прикрепления к телу, как кутлефиш и т.д."
acetabuliform,ацетабулиформа,"сформирована как глубокая чашка; в форме сока; как, ацетабулифорный калий."
acetabulum,Уксусная,чашка винограда; сокет кишечника; измерение примерно восьмидесяти пинта и т. д.
acetabulum,Костная,"чашка бони, которая получает голову тёгкого кости."
acetabulum,"Вещество,","полость, в которой нога насекомого вставляется в его суставу с телом."
acetabulum,Сепиа,Сукер сепии или котлефи и связанных животных.
acetabulum,Ацетабулум.,Большой задний сукер листьев.
acetabulum,Одной,один из лоб плаценты у румирующих животных.
acetal,acetal,"чистая, бесконечная, воспалительная жидкость от медленной оксидации алкоголя под влиянием платину черного."
acetaldehyde,acetaldegyde,Ацетический альдегид.
acetamide,ацетамид,"белый кристаллический твердый, из аммиаза путем замены эквивалента водорода ацетилом."
acetanilide,ацетанилайд,"соединение анилина с ацетилом, используемое для смягчения лихорадки или боли; — также называется антифебрином."
acetarious,В,"используется в салатах; как, ацетарные растения."
acetary,Целостная,"кислотный пульп в определенных фруктах, как и пер."
acetate,"Соль,","Соль, образуемая соединением ацетической кислоты с базой или положительным радикалом; как, ацетат из лимона, ацетат из калия."
acetated,В,в сочетании с ацетической кислотой.
acetic,-,"от принадлежащего к винограду; производить винограду; производить винограду; как, ацетическая ферментация."
acetic,Уксус,"относится к, содержит, или получен из, ацетил, как ацетический эфир, ацетическая кислота."
acetification,acetification,акт изготовления ацетуса или сыра; процесс превращения или превращения в виноград.
acetifier,Прибор,аппарат для ускорения ацетификации.
acetified,Удовлетворенный,от Ацетифицированного
acetifying,Удовлетворение,от Ацетификации
acetify,acetifyfice,превратить в кислоту или виноград.
acetify,ацетифицируйте,превратить кислоту.
acetimeter,Прибор,"инструмент для оценки количества ацетической кислоты в винограде или в любой жидкости, содержащей ацетическую кислоту."
acetimetry,acetimetry,"акт или метод выявления прочности винограда или пропорции ацетической кислоты, содержащейся в нем."
acetin,aceitin,сочетание ацетической кислоты с глицерином.
acetize,ацетифицировано.,для ацетизации.
acetometer,acetometer:,"Точно так же, как и Ацетометр."
acetone,acetone,"летящая жидкость, состоящая из трех частей углерода, шести водорода и одного кислорода; пироацетический дух, полученный дестиляцией определенных ацетат, или разрушительной дестиляцией цитрусовой кислоты, глины, сахара или гумы, с киклимом."
acetonic,acetonические,"от или принадлежит к ацетону; как, ацетонные тела."
acetose,ацетоза,сыр как виноград; ацетус.
acetosity,ацетоидность,Качество ацетозности; глупость.
acetous,"Кислородный,",имея серый вкус; серый; кислот.
acetous,acetous,"вызывает, или связанная с, ацетификация; как, ацетус ферментация."
acetyl,acetil,"сложный, гипотетический радикал, состоящий из двух частей углерода до трех углерода и одного из кислорода."
acetylene,Ацетилен,"газовый соединение углерода и водорода, в соотношении двух атомов первого до двух последних. Это безцветный газ, с особенным, неприятным запахом, и производится для использования в качестве освещающего газа несколькими способами, но главным образом действием воды на карбид кальция."
ach,(ach,Alt. of Ache
ache,ache,"имя дано нескольким видам растений; как, малышое, дикое целерие, парслей."
achaean,Ахаинский,Alt. of Achaian
achaian,Ахаиан,"от или относится к Ахайи в Греции; также, греческий."
achaian,Ахаиан,родом из Ахаии; греком.
acharnement,ахронизм,спасение горчивости; фероцит.
achate,Агатировать,Агате.
achate,achate,покупка; переговоры.
achate,ахатировать,Положения.
achatina,achatina,"жанр земных снайл, часто больших, распространенных в теплых частях Америки и Африки."
achatour,achatur,Purveyor; acater.
ache,"""Какая","непрерывная боль, как отличается от внезапных поворотов или спазмолитической боли."
ached,высохший,от Ache
aching,Задыхаясь,от Ache
ache,(Ж),"страдать от боли; иметь или быть в боли, или в постоянной боли; быть тревожным."
achean,Посмотри,"Смотреть «ахеан», «ахеан»."
achene,Achene,Alt. of Achenium
achenium,"Маленький,","небольшой, сухой, бесценный плод, содержащий одно семя, как и в бутеркупе; — назвал голым семян предыдущими ботанистами."
achenial,Ахениальный,относится к ахнея.
acheron,Река,"река в Нидерном мире или адальных регионах; также, адальные регионы сами."
acherontic,Ахеронтический,"от или принадлежит к Ахерону; афенальный; следовательно, дисмал, голомия; смертный."
achievable,-,способность быть достигнутым.
achievance,-,достижения.
achieved,Выполненные,достижения
achieving,достижения,достижения
achieve,*,"продолжить до окончательного закрытия; вывести в совершенное состояние; достичь; выполнить; — как, достичь достижения, эксплуатации, предприятия."
achieve,-,получить или выиграть в результате упражнения; добиться успеха в выигрыше; выиграть.
achieve,Добиться,завершить; убить.
achievement,-,"акт достижения или исполнения; достижение путем упражнения; успешное достижение; достижение; как, достижение своего объекта."
achievement,::,"великое или героическое деяние; что-то, достигнутое ценностью, мужеством или благочестивым упражнениям; достижение."
achievement,::,"Экутчеон или встаньте арматориал; теперь обычно применяется к похоронному щиту, обычно называемому хачмент."
achiever,"Выигрыватель,",кто достигает; кто выигрывает.
achillean,Ахиллянский,"напоминает Ахиль, героя Ильяда; непобедимый."
achilles' tendon,Сильная,"сильный тендон, сформированный из объединенных тендонов больших мышц в ног, вложенный в кость кожи; — так называемый из мифологического отчета о Ахиле, который держится кожей, когда он просыпается в реке Стикс."
achilous,Без,без губ.
aching,У,это ощущает; постоянно болезненно.
achiote,семя,"Семена дерева анното; также, цветная материя, анното."
achlamydate,ахламидата,не имея полотенца; — говорится о некоторых гастроподах.
achlamydeous,"Голый,","Голый; не имеющий цветной оболочки, ни каликса, ни королы."
acholia,Недостаток,дефицит или желание желчи.
acholous,Не,отсутствие желчи.
achromatic,без,"свободный от цвета; передавая свет, не декомпонируя его в его основные цвета."
achromatic,а,нецветный; не поглощающий цвет из жидкости; — говорится о тканях.
achromatically,а,Ахроматически.
achromaticity,ахроматизм.,ахроматизм.
achromatin,ахроматин,"ткань, которая не покрывается жидкими дырами."
achromatism,-,"состояние или качество акроматизма; как, акроматизм линзы; акроматичность."
achromatization,achromatization,акт или процесс ахроматизации.
achromatized,ахроматизированный,Achromatize
achromatizing,ахроматизация,от «ахроматизации»
achromatize,achromatize,чтобы лишить цвета; чтобы сделать акроматический.
achromatopsy,ахроматопсия,цветная слепота; неспособность различать цвета; далтонизм.
achronic,ахронический,Смотреть «ахронику».
achroodextrin,achruudextrin,Дектрин не окрашивается йодом.
achroous,без,Бесцветный; акроматический.
achylous,ахилиозный,без чиля.
achymous,без,без chyme.
aciculae,"Извините,",от «ацикула»
acicula,иглу,"один из иглалицких или бристолицких шпионов или шпионов некоторых животных и растений; также, иглалицкий кристалл."
acicular,ацикулярная,"в виде иглы; сланцевый, как игла или бриллиант, как некоторые листья или кристаллы; также, имея острые точки, как ненужные."
